District,Latitude,Longitude
Água Rasa,-23.565372,-46.573697
Alto de Pinheiros,-23.549549,-46.712155
Anhanguera,-23.432909,-46.788534
Aricanduva,-23.578024,-46.511454
Artur Alvim,-23.539221,-46.485265
Barra Funda,-23.525462,-46.667513
Bela Vista,-23.562210,-46.647766
Belém,-23.534883,-46.594939
Bom Retiro,-23.527139,-46.636835
Brás,-23.545114,-46.616336
Brasilândia,-23.448272,-46.690269
Butantã,-23.569131,-46.721874
Cachoeirinha,-23.449511,-46.663661
Cambuci,-23.566128,-46.613650
Campo Belo,-23.626731,-46.669421
Campo Grande,-23.675548,-46.687234
Campo Limpo,-23.632558,-46.759666
Cangaíba,-23.505900,-46.531425
Capão Redondo,-23.671903,-46.779435
Carrão ,-23.551531,-46.537791
Casa Verde,-23.505927,-46.656138
Cidade Ademar,-23.673012,-46.655281
Cidade Dutra,-23.713964,-46.699088
Cidade Líder,-23.562770,-46.494333
Cidade Tiradentes,-23.582497,-46.409207
Consolação,-23.557887,-46.660321
Cursino,-23.632301,-46.619563
Ermelino Matarazzo,-23.491673,-46.484070
Freguesia do Ó,-23.487464,-46.695132
Grajaú,-23.786248,-46.664993
Guaianazes,-23.542328,-46.415521
Iguatemi,-23.618212,-46.418977
Ipiranga,-23.589273,-46.606162
Itaim Bibi,-23.584381,-46.678444
Itaim Paulista,-23.501765,-46.399609
Itaquera,-23.536080,-46.455501
Jabaquara,-23.652066,-46.650037
Jaçanã,-23.463959,-46.582423
Jaguará,-23.507446,-46.755315
Jaguaré,-23.542036,-46.749499
Jaraguá,-23.446658,-46.736213
Jardim Ângela,-23.712528,-46.768720
Jardim Helena,-23.482284,-46.423410
Jardim Paulista,-23.567436,-46.663692
Jardim São Luís,-23.683573,-46.737762
José Bonifácio,-23.564091,-46.434767
Lapa,-23.521576,-46.704349
Lajeado,-23.536248,-46.410022
Liberdade,-23.566704,-46.631809
Limão,-23.503315,-46.675272
Mandaqui,-23.457941,-46.641243
Marsilac,-23.937142,-46.710230
Moema,-23.597085,-46.662888
Mooca,-23.560681,-46.597192
Morumbi,-23.596499,-46.717845
Parelheiros,-23.824791,-46.733078
Pari,-23.532976,-46.615849
Parque do Carmo,-23.578708,-46.458056
Penha,-23.523683,-46.543782
Pedreira,-23.741347,-46.894846
Perdizes,-23.537929,-46.680671
Perus,-23.408492,-46.743643
Pinheiros,-23.567249,-46.701952
Pirituba,-23.485533,-46.721939
Ponte Rasa,-23.511046,-46.487052
Raposo Tavares,-23.591765,-46.780607
República,-23.545335,-46.642257
Rio Pequeno,-23.568505,-46.756857
Sacomã,-23.601282,-46.602555
Santa Cecília,-23.529660,-46.651892
Santana,-23.499321,-46.628933
Santo Amaro,-23.656230,-46.719116
São Domingos,-23.493763,-46.745581
São Lucas,-23.594946,-46.545900
São Mateus,-23.598300,-46.481705
São Miguel,-23.502685,-46.438329
São Rafael,-23.627159,-46.453241
Sapopemba,-23.604327,-46.509885
Saúde,-23.615178,-46.643393
Sé,-23.550443,-46.633446
Socorro,-23.590262,-46.524911
Tatuapé,-23.540252,-46.576642
Tremembé,-23.466490,-46.632237
Tucuruvi,-23.480075,-46.603270
Vila Andrade,-23.625687,-46.726989
Vila Curuçá,-23.510151,-46.417893
Vila Formosa,-23.566876,-46.546323
Vila Guilherme,-23.517097,-46.607962
Vila Jacuí,-23.500294,-46.458717
Vila Leopoldina,-23.530072,-46.734319
Vila Maria,-23.513184,-46.589156
Vila Mariana,-23.583700,-46.632741
Vila Matilde,-23.536179,-46.524605
Vila Medeiros,-23.487707,-46.584496
Vila Prudente,-23.592335,-46.574961
Vila Sônia,-23.599935,-46.739162